"pathway","pval","padj","NES"
"BIOCARTA_IGF1MTOR_PATHWAY",1.97304103008232e-05,0.0130333453187152,1.94470009654254
"HUPER_BREAST_BASAL_VS_LUMINAL_UP",6.69911223481636e-05,0.023828226902916,1.8942262480712
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",5.76376223100243e-05,0.023828226902916,1.85323901411331
"FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS",1.68894324817667e-09,7.80967357956894e-06,1.84854688597724
"BIOCARTA_IGF1_PATHWAY",0.000398280910919002,0.0736457964131992,1.8322592586705
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN",0.00021115857595666,0.0488534607724767,1.7891938775052
"KERLEY_RESPONSE_TO_CISPLATIN_UP",0.000671883292788138,0.107130632615598,1.78320135410463
"ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE",0.000517521589856207,0.0886303641294482,1.77061150005742
"BIOCARTA_TFF_PATHWAY",0.000987472708968335,0.140904625694202,1.76137962901985
"IGLESIAS_E2F_TARGETS_UP",6.23637262370095e-05,0.023828226902916,1.75975079004016
"AZARE_STAT3_TARGETS",0.00130841308848792,0.159213213714951,1.75613485075535
"PID_P53_DOWNSTREAM_PATHWAY",4.84843960213715e-05,0.0224191847202822,1.75029037918455
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP",0.000312804082564554,0.0628872207729782,1.74500482971634
"BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN",0.0014422650249451,0.166725836883654,1.73214409848751
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING",0.00165430903721467,0.173852840638196,1.72718953722978
"PID_TAP63_PATHWAY",0.00115061049562285,0.154225282564501,1.72411289555599
"PID_INTEGRIN1_PATHWAY",0.000414098336233387,0.0736457964131992,1.722422876865
"VERRECCHIA_EARLY_RESPONSE_TO_TGFB1",0.00120583864826892,0.154883275266541,1.72114222468645
"WP_HEART_DEVELOPMENT",0.00170156819970329,0.174845585676178,1.71903283960713
"REACTOME_COLLAGEN_DEGRADATION",0.000770764621615468,0.114968245495159,1.71366034543254
"BIOCARTA_NFAT_PATHWAY",0.00189136662108244,0.178632552263561,1.7058615793695
"SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN",0.00263500793173266,0.221532303206033,1.70392631953197
"LEE_LIVER_CANCER_DENA_UP",0.0020165806762621,0.179320558596845,1.68913266138181
"TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP",0.00327708467872321,0.235937500617015,1.67529821532458
"HINATA_NFKB_TARGETS_KERATINOCYTE_UP",0.00100559097056848,0.140904625694202,1.66693642649639
"SCHRAETS_MLL_TARGETS_DN",0.00369645634745961,0.24850638551984,1.66641659029686
"AMIT_EGF_RESPONSE_120_MCF10A",0.00425305196051351,0.269398798156363,1.65443933954702
"LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE",0.00417777868710981,0.26830623123883,1.65432053347004
"WIERENGA_STAT5A_TARGETS_GROUP2",0.00269980320874248,0.222926607807593,1.65264126396183
"WP_BURN_WOUND_HEALING",0.00239652926256683,0.205213913150167,1.63684232023724
"WP_GLUCURONIDATION",0.00701756581637865,0.36874118562426,1.63453882463041
"MACAEVA_PBMC_RESPONSE_TO_IR",0.00178909601626721,0.178632552263561,1.62836200788129
"REACTOME_GLUCURONIDATION",0.0101369532474879,0.411304238289708,1.62368413990178
"THUM_MIR21_TARGETS_HEART_DISEASE_UP",0.00908302195979162,0.411304238289708,1.6228448601306
"REACTOME_MET_PROMOTES_CELL_MOTILITY",0.00651126091390296,0.358429410308182,1.61851443122571
"BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE",0.00320704081418454,0.235937500617015,1.61479870052597
"WP_16P112_DISTAL_DELETION_SYNDROME",0.00668275120836084,0.36354166573483,1.61386817625386
"REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS",0.0133546982638978,0.437958331718181,1.61087256162084
"KIM_GLIS2_TARGETS_UP",0.00500377927251564,0.292879434887498,1.59937516533465
"PACHER_TARGETS_OF_IGF1_AND_IGF2_UP",0.00777585462872896,0.378911138469955,1.59511001249164
"VERRECCHIA_RESPONSE_TO_TGFB1_C2",0.00745897210488519,0.374894424054229,1.59353278355944
"PID_AVB3_INTEGRIN_PATHWAY",0.00302877985704666,0.235937500617015,1.59271197182834
"REACTOME_IRAK4_DEFICIENCY_TLR2_4",0.014695195656288,0.441191936170873,1.58503865454632
"MURAKAMI_UV_RESPONSE_6HR_UP",0.010665271929534,0.411304238289708,1.57964555220344
"BIOCARTA_HDAC_PATHWAY",0.011400796640263,0.411304238289708,1.5782650314913
"DAZARD_UV_RESPONSE_CLUSTER_G24",0.0116950067166299,0.411304238289708,1.57434546362237
"KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS",0.00982980362707513,0.411304238289708,1.57406498978036
"REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION",0.014695195656288,0.441191936170873,1.57194568628634
"KHETCHOUMIAN_TRIM24_TARGETS_UP",0.0111731420214166,0.411304238289708,1.5703855890932
"ZHU_SKIL_TARGETS_UP",0.0200943784755448,0.494236202504888,1.57000408314165
"WARTERS_IR_RESPONSE_5GY",0.0102123018323644,0.411304238289708,1.56888945648643
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES",0.00988961987632711,0.411304238289708,1.56331240677138
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",3.44457657626069e-05,0.0176974689873661,1.56307474418891
"REACTOME_COLLAGEN_FORMATION",0.0038732348106792,0.252251236120854,1.56016544433993
"VERNOCHET_ADIPOGENESIS",0.0165742645354408,0.452603118596996,1.55983938618905
"GHANDHI_DIRECT_IRRADIATION_UP",0.00638659845731595,0.356381211138115,1.55269178761153
"PID_TOLL_ENDOGENOUS_PATHWAY",0.0146371118789905,0.441191936170873,1.55201290003148
"SCHRAETS_MLL_TARGETS_UP",0.014784217299004,0.441191936170873,1.54975891891385
"ALCALAY_AML_BY_NPM1_LOCALIZATION_UP",0.00152800314924007,0.168225870525859,1.5464190608184
"WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS",0.0162100716807857,0.448834559592533,1.54563628249534
"REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND",0.0218177759862044,0.504874903068855,1.54212304137345
"LEE_LIVER_CANCER_E2F1_UP",0.0077847227843092,0.378911138469955,1.53909576543244
"REACTOME_INTERLEUKIN_37_SIGNALING",0.0129032461130994,0.429241798755191,1.53900051267773
"WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS",0.0101571463814471,0.411304238289708,1.53395102993251
"SCHAVOLT_TARGETS_OF_TP53_AND_TP63",0.0233211596356153,0.523480787160607,1.53303052006586
"NABA_COLLAGENS",0.0153250492939832,0.441191936170873,1.53091668315685
"REACTOME_COLLAGEN_CHAIN_TRIMERIZATION",0.0153250492939832,0.441191936170873,1.53091668315685
"PID_P73PATHWAY",0.0075760797074375,0.376685941582699,1.53057606428041
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.020671447646494,0.500443842499416,1.52759180821768
"BIOCARTA_BAD_PATHWAY",0.0303643177034276,0.576651567844882,1.52545613381602
"CROMER_TUMORIGENESIS_UP",0.0102800150876743,0.411304238289708,1.52476794781391
"ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP",0.000615173877250056,0.101591571728724,1.52325547659138
"WEINMANN_ADAPTATION_TO_HYPOXIA_DN",0.0210907467873966,0.504874903068855,1.52175914037403
"LEE_LIVER_CANCER_CIPROFIBRATE_UP",0.0177887887143775,0.462088246360111,1.5203429605543
"SMIRNOV_RESPONSE_TO_IR_6HR_UP",0.00198965642354761,0.179320558596845,1.51917437098504
"ROY_WOUND_BLOOD_VESSEL_UP",0.015356197768158,0.441191936170873,1.51805807873444
"FOROUTAN_INTEGRATED_TGFB_EMT_DN",0.00900681649705438,0.411304238289708,1.51697869982057
"WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY",0.0232098536759663,0.523480787160607,1.51425696529672
"PID_INTEGRIN3_PATHWAY",0.0263393075834267,0.540510757144514,1.51377949232666
"WU_HBX_TARGETS_2_DN",0.0271346358486996,0.542522050300124,1.5136013330872
"WP_TP53_NETWORK",0.0289418513722798,0.557613003105925,1.51354165428725
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",0.00824682844859368,0.389115660676502,1.51304831102359
"WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY",0.01961323750776,0.490244512342728,1.51283935600041
"MANN_RESPONSE_TO_AMIFOSTINE_UP",0.0313223965419914,0.581665709277784,1.50778247871517
"CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP",0.0110081743803517,0.411304238289708,1.50549206304138
"JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_UP",0.0173437085634758,0.457311853428985,1.49825762003163
"KAMIKUBO_MYELOID_CEBPA_NETWORK",0.0267262418820093,0.54202694062461,1.49622268685394
"WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS",0.0337087952591167,0.613659327866755,1.49371150791194
"BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP",0.0536779324055666,0.758170887229003,1.49299189959746
"REACTOME_SIGNALING_BY_MET",0.00877024446996297,0.405536104291088,1.49243362279883
"BRACHAT_RESPONSE_TO_METHOTREXATE_UP",0.0175392465881237,0.458200430641153,1.49207190698374
"INGRAM_SHH_TARGETS_DN",0.0134586375084048,0.438258731259605,1.4913703789831
"WU_HBX_TARGETS_1_UP",0.036260131553053,0.642401717629568,1.49041059228152
"KEGG_P53_SIGNALING_PATHWAY",0.0155339785451965,0.443389609833262,1.4891432360056
"JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP",0.0102239574797403,0.411304238289708,1.48895408967242
"SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3",0.0130966010050365,0.432562021766348,1.48721606500468
"WONG_ENDMETRIUM_CANCER_DN",0.0115376061999462,0.411304238289708,1.48528465090558
"APPIERTO_RESPONSE_TO_FENRETINIDE_DN",0.0206615585131609,0.500443842499416,1.48496334667087
"ZHENG_IL22_SIGNALING_UP",0.0283163360628118,0.552467248752918,1.4836218924974
"TCGA_GLIOBLASTOMA_COPY_NUMBER_UP",0.0157871040238612,0.447632357302886,1.48297082951804
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.0384816051631707,0.663068216406247,1.48120314622628
"HUANG_FOXA2_TARGETS_DN",0.0250357158657309,0.529532793776607,1.47957390881133
"PID_SYNDECAN_1_PATHWAY",0.0240053427157084,0.526069690603959,1.47877737568899
"DELACROIX_RAR_TARGETS_DN",0.0538922155688623,0.758170887229003,1.47815577385036
"CUI_TCF21_TARGETS_UP",0.0253391753952851,0.532583395580902,1.47754579237134
"REACTOME_ECM_PROTEOGLYCANS",0.0144284452182907,0.441191936170873,1.4772012386183
"DAZARD_UV_RESPONSE_CLUSTER_G4",0.0536779324055666,0.758170887229003,1.47719656816212
"WESTON_VEGFA_TARGETS_6HR",0.0197740017496269,0.49158593596922,1.47531381130075
"BURTON_ADIPOGENESIS_PEAK_AT_0HR",0.0216066809040752,0.504874903068855,1.47522087101466
"BIOCARTA_TID_PATHWAY",0.0536779324055666,0.758170887229003,1.47166675087687
"SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_2FC_DN",0.0549019607843137,0.760212016211868,1.46961761494031
"CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN",0.00376199113027439,0.24850638551984,1.46732087352146
"WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY",0.011865561518203,0.411304238289708,1.46591573882106
"KASLER_HDAC7_TARGETS_1_DN",0.0420612207168864,0.692139091084991,1.4646179795053
"GERHOLD_ADIPOGENESIS_UP",0.0237593863354245,0.526069690603959,1.46132131501926
"BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP",0.00935896233996679,0.411304238289708,1.45906580548195
"KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP",0.00984341213028269,0.411304238289708,1.45681991201305
"WILLERT_WNT_SIGNALING",0.0533596837944664,0.758170887229003,1.45624785206719
"TUOMISTO_TUMOR_SUPPRESSION_BY_COL13A1_UP",0.0496031746031746,0.758170887229003,1.45550454977168
"BOYLAN_MULTIPLE_MYELOMA_PCA1_UP",0.0123583873520856,0.417118124934626,1.4537433747694
"REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R",0.023931169847412,0.526069690603959,1.45298702129405
"SEAVEY_EPITHELIOID_HEMANGIOENDOTHELIOMA",0.0151969494248865,0.441191936170873,1.45289032703188
"YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN",0.0575396825396825,0.765854547261374,1.45026567337412
"AIYAR_COBRA1_TARGETS_UP",0.0247346852140387,0.529505483470903,1.44478964890054
"HOSHIDA_LIVER_CANCER_SUBCLASS_S1",0.00299306428910276,0.235937500617015,1.44430629292386
"LIU_VAV3_PROSTATE_CARCINOGENESIS_UP",0.0216003186272231,0.504874903068855,1.44251208489554
"BIOCARTA_SPRY_PATHWAY",0.0555555555555556,0.762281569403231,1.44198873216415
"REACTOME_SIGNALING_BY_PDGF",0.0359726097207923,0.639759028265168,1.4386437753986
"HOLLERN_ADENOMYOEPITHELIAL_BREAST_TUMOR",0.0555555555555556,0.762281569403231,1.43795925683077
"AMIT_SERUM_RESPONSE_240_MCF10A",0.0506072874493927,0.758170887229003,1.43786265760793
"WP_GASTRIC_CANCER_NETWORK_1",0.0616302186878728,0.77963532696274,1.43538385421084
